GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1699414998090,SushiGo,3,GAME_OVER,60,0,2,2,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,71.0,54.0,GroupT,GroupT,BasicMCTS,1
1699414998091,SushiGo,3,GAME_OVER,60,0,2,3,1,GroupT,1,2,2,BasicMCTS,GroupT,60.0,49.0,BasicMCTS,BasicMCTS,GroupT,1
1699414998092,SushiGo,3,GAME_OVER,60,0,2,4,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,53.0,48.0,GroupT,GroupT,BasicMCTS,1
1699414998093,SushiGo,3,GAME_OVER,62,0,2,5,2,GroupT,2,1,1,BasicMCTS,GroupT,48.0,55.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998094,SushiGo,3,GAME_OVER,60,0,2,6,2,GroupT,2,1,1,BasicMCTS,GroupT,56.0,57.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998095,SushiGo,3,GAME_OVER,60,0,2,7,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,42.0,42.0,GroupT,GroupT,BasicMCTS,0
1699414998096,SushiGo,3,GAME_OVER,61,0,2,8,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,50.0,51.0,GroupT,GroupT,BasicMCTS,0
1699414998097,SushiGo,3,GAME_OVER,62,0,2,9,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,64.0,50.0,GroupT,GroupT,BasicMCTS,1
1699414998098,SushiGo,3,GAME_OVER,62,0,2,10,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,61.0,62.0,GroupT,GroupT,BasicMCTS,0
1699414998099,SushiGo,3,GAME_OVER,60,0,2,11,1,GroupT,1,2,2,BasicMCTS,GroupT,53.0,49.0,BasicMCTS,BasicMCTS,GroupT,1
1699414998100,SushiGo,3,GAME_OVER,62,0,2,12,2,GroupT,2,1,1,BasicMCTS,GroupT,51.0,53.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998101,SushiGo,3,GAME_OVER,62,0,2,13,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,51.0,47.0,GroupT,GroupT,BasicMCTS,1
1699414998102,SushiGo,3,GAME_OVER,61,0,2,14,2,GroupT,2,1,1,BasicMCTS,GroupT,50.0,52.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998103,SushiGo,3,GAME_OVER,62,0,2,15,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,60.0,54.0,GroupT,GroupT,BasicMCTS,1
1699414998104,SushiGo,3,GAME_OVER,61,0,2,16,2,GroupT,2,1,1,BasicMCTS,GroupT,57.0,60.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998105,SushiGo,3,GAME_OVER,62,0,2,17,1,GroupT,1,2,2,BasicMCTS,GroupT,60.0,48.0,BasicMCTS,BasicMCTS,GroupT,1
1699414998106,SushiGo,3,GAME_OVER,60,0,2,18,1,GroupT,1,2,2,BasicMCTS,GroupT,67.0,59.0,BasicMCTS,BasicMCTS,GroupT,1
1699414998107,SushiGo,3,GAME_OVER,61,0,2,19,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,52.0,54.0,GroupT,GroupT,BasicMCTS,0
1699414998108,SushiGo,3,GAME_OVER,64,0,2,20,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,64.0,48.0,GroupT,GroupT,BasicMCTS,1
1699414998109,SushiGo,3,GAME_OVER,60,0,2,21,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,79.0,69.0,GroupT,GroupT,BasicMCTS,1
1699414998110,SushiGo,3,GAME_OVER,60,0,2,22,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,67.0,54.0,GroupT,GroupT,BasicMCTS,1
1699414998111,SushiGo,3,GAME_OVER,61,0,2,23,2,GroupT,2,1,1,BasicMCTS,GroupT,51.0,60.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998112,SushiGo,3,GAME_OVER,61,0,2,24,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,58.0,50.0,GroupT,GroupT,BasicMCTS,1
1699414998113,SushiGo,3,GAME_OVER,60,0,2,25,2,GroupT,2,1,1,BasicMCTS,GroupT,50.0,54.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998114,SushiGo,3,GAME_OVER,61,0,2,26,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,67.0,59.0,GroupT,GroupT,BasicMCTS,1
1699414998115,SushiGo,3,GAME_OVER,61,0,2,27,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,49.0,55.0,GroupT,GroupT,BasicMCTS,0
1699414998116,SushiGo,3,GAME_OVER,62,0,2,28,2,GroupT,2,1,1,BasicMCTS,GroupT,39.0,42.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998117,SushiGo,3,GAME_OVER,61,0,2,29,2,GroupT,2,1,1,BasicMCTS,GroupT,50.0,65.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998118,SushiGo,3,GAME_OVER,60,0,2,30,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,36.0,55.0,GroupT,GroupT,BasicMCTS,0
1699414998119,SushiGo,3,GAME_OVER,61,0,2,31,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,67.0,59.0,GroupT,GroupT,BasicMCTS,1
1699414998120,SushiGo,3,GAME_OVER,60,0,2,32,2,GroupT,2,1,1,BasicMCTS,GroupT,60.0,67.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998121,SushiGo,3,GAME_OVER,61,0,2,33,2,GroupT,2,1,1,BasicMCTS,GroupT,52.0,59.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998122,SushiGo,3,GAME_OVER,61,0,2,34,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,64.0,54.0,GroupT,GroupT,BasicMCTS,1
1699414998123,SushiGo,3,GAME_OVER,61,0,2,35,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,57.0,56.0,GroupT,GroupT,BasicMCTS,1
1699414998124,SushiGo,3,GAME_OVER,62,0,2,36,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,45.0,45.0,GroupT,GroupT,BasicMCTS,1
1699414998125,SushiGo,3,GAME_OVER,61,0,2,37,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,59.0,73.0,GroupT,GroupT,BasicMCTS,0
1699414998126,SushiGo,3,GAME_OVER,62,0,2,38,1,GroupT,1,2,2,BasicMCTS,GroupT,59.0,58.0,BasicMCTS,BasicMCTS,GroupT,1
1699414998127,SushiGo,3,GAME_OVER,61,0,2,39,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,53.0,46.0,GroupT,GroupT,BasicMCTS,1
1699414998128,SushiGo,3,GAME_OVER,63,0,2,40,1,GroupT,1,2,2,BasicMCTS,GroupT,50.0,49.0,BasicMCTS,BasicMCTS,GroupT,1
1699414998129,SushiGo,3,GAME_OVER,61,0,2,41,2,GroupT,2,1,1,BasicMCTS,GroupT,54.0,68.0,BasicMCTS,BasicMCTS,GroupT,0
1699414998130,SushiGo,3,GAME_OVER,61,0,2,42,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,54.0,60.0,GroupT,GroupT,BasicMCTS,0
1699414998131,SushiGo,3,GAME_OVER,61,0,2,43,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,61.0,51.0,GroupT,GroupT,BasicMCTS,1
