GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1699410117052,SushiGo,3,GAME_OVER,60,0,2,2,2,GroupT,2,1,1,BasicMCTS,GroupT,36.0,63.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117053,SushiGo,3,GAME_OVER,62,0,2,3,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,39.0,49.0,GroupT,GroupT,BasicMCTS,0
1699410117054,SushiGo,3,GAME_OVER,62,0,2,4,1,GroupT,1,2,2,BasicMCTS,GroupT,49.0,39.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117055,SushiGo,3,GAME_OVER,60,0,2,5,2,GroupT,2,1,1,BasicMCTS,GroupT,54.0,63.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117056,SushiGo,3,GAME_OVER,60,0,2,6,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,49.0,43.0,GroupT,GroupT,BasicMCTS,1
1699410117057,SushiGo,3,GAME_OVER,61,0,2,7,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,43.0,36.0,GroupT,GroupT,BasicMCTS,1
1699410117058,SushiGo,3,GAME_OVER,61,0,2,8,1,GroupT,1,2,2,BasicMCTS,GroupT,42.0,38.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117059,SushiGo,3,GAME_OVER,62,0,2,9,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,45.0,57.0,GroupT,GroupT,BasicMCTS,0
1699410117060,SushiGo,3,GAME_OVER,61,0,2,10,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,41.0,50.0,GroupT,GroupT,BasicMCTS,0
1699410117061,SushiGo,3,GAME_OVER,62,0,2,11,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,32.0,52.0,GroupT,GroupT,BasicMCTS,0
1699410117062,SushiGo,3,GAME_OVER,62,0,2,12,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,56.0,37.0,GroupT,GroupT,BasicMCTS,1
1699410117063,SushiGo,3,GAME_OVER,61,0,2,13,1,GroupT,1,2,2,BasicMCTS,GroupT,49.0,48.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117064,SushiGo,3,GAME_OVER,60,0,2,14,1,GroupT,1,2,2,BasicMCTS,GroupT,58.0,42.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117065,SushiGo,3,GAME_OVER,61,0,2,15,1,GroupT,1,2,2,BasicMCTS,GroupT,55.0,33.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117066,SushiGo,3,GAME_OVER,60,0,2,16,2,GroupT,2,1,1,BasicMCTS,GroupT,43.0,55.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117067,SushiGo,3,GAME_OVER,63,0,2,17,2,GroupT,2,1,1,BasicMCTS,GroupT,49.0,55.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117068,SushiGo,3,GAME_OVER,63,0,2,18,1,GroupT,1,2,2,BasicMCTS,GroupT,48.0,44.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117069,SushiGo,3,GAME_OVER,60,0,2,19,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,40.0,41.0,GroupT,GroupT,BasicMCTS,0
